from_meter,to_meter,coefficient,derived_from,relation_type
B209.T21,B209.T21-4-6,,el_naming_hierarchy,
B209.T32,B209.T32-2-2,,el_naming_hierarchy,
B209.T32,B209.T32-2-4,,el_naming_hierarchy,
B209.T32,B209.T32-4-2,,el_naming_hierarchy,
B308.T57,B308.T57-3-2,,el_naming_hierarchy,
B308.T57,B308.T57-4-7,,el_naming_hierarchy,
B308.T58,B308.T58-4-2,,el_naming_hierarchy,
B310.T27,B310.T27-12-2,,el_naming_hierarchy,
B310.T28,B310.T28-23-2,,el_naming_hierarchy,
B311.T56,B311.T56-4-7,,el_naming_hierarchy,
B311.T80,B311.T80-2-3,,el_naming_hierarchy,
B312.T34,B312.T34-2-3,,el_naming_hierarchy,
B312.T34,B312.T34-2-4,,el_naming_hierarchy,
B312.T34,B312.T34-2-5,,el_naming_hierarchy,
B313.T26S,B313.T26S-2-12,,el_naming_hierarchy,
B313.T26S,B313.T26S-2-32,,el_naming_hierarchy,
B313.T26S,B313.T26S-2-6,,el_naming_hierarchy,
B313.T26S,B313.T26S-3-12,,el_naming_hierarchy,
B313.T26S,B313.T26S-3-16,,el_naming_hierarchy,
B313.T26S,B313.T26S-3-20,,el_naming_hierarchy,
B313.T26S,B313.T26S-3-24,,el_naming_hierarchy,
B313.T26S,B313.T26S-3-28,,el_naming_hierarchy,
B313.T26S,B313.T26S-3-32,,el_naming_hierarchy,
B317.T49,B317.T49-3-9,,el_naming_hierarchy,
B317.T49,B317.T49-4-2,,el_naming_hierarchy,
B317.T49,B317.T49-4-3,,el_naming_hierarchy,
B317.T49,B317.T49-4-4,,el_naming_hierarchy,
B317.T49,B317.T49-4-6,,el_naming_hierarchy,
B317.T49,B317.T49-4-7,,el_naming_hierarchy,
B317.T49,B317.T49-4-9,,el_naming_hierarchy,
B317.T49,B317.T49-5-1,,el_naming_hierarchy,
B317.T49,B317.T49-5-2,,el_naming_hierarchy,
B317.T49,B317.T49-5-5,,el_naming_hierarchy,
B317.T49,B317.T49-5-6,,el_naming_hierarchy,
B317.T49,B317.T49-5-7,,el_naming_hierarchy,
B317.T49,B317.T49-5-9,,el_naming_hierarchy,
B334.T87,B334.T87-5-2,,el_naming_hierarchy,
B334.T88,B334.T88-4-2,,el_naming_hierarchy,
B209.T32-4-2,B204.EL_VIRT,0.750000,excel_EL_fractional,
B209.T32-4-2,B205.EL_VIRT,0.250000,excel_EL_fractional,
B312.T34,B312.EL_VIRT,0.850000,excel_EL_fractional,
B317.T49,B310.EL_VIRT,0.400000,excel_EL_fractional,
B317.T49,B313.EL_VIRT,0.100000,excel_EL_fractional,
B317.T49,B317.EL_VIRT,0.500000,excel_EL_fractional,
B313.T26S,B310.EL_VIRT,0.500000,excel_EL_fractional,
B313.T26S,B311.EL_VIRT,0.500000,excel_EL_fractional,
B311.T29,B310.EL_VIRT,0.333333,excel_EL_fractional,
B311.T29,B311.EL_VIRT,0.666667,excel_EL_fractional,
B317.T49-3-9,B317.EL_VIRT,0.5,excel_EL_t49_extra_compensation,
B317.T49-3-9,B313.EL_VIRT,0.1,excel_EL_t49_extra_compensation,
B317.T49-4-4,B317.EL_VIRT,0.5,excel_EL_t49_extra_compensation,
B317.T49-4-4,B313.EL_VIRT,0.1,excel_EL_t49_extra_compensation,
B317.T49-4-6,B317.EL_VIRT,0.5,excel_EL_t49_extra_compensation,
B317.T49-4-6,B313.EL_VIRT,0.1,excel_EL_t49_extra_compensation,
B317.T49-4-7,B317.EL_VIRT,0.5,excel_EL_t49_extra_compensation,
B317.T49-4-7,B313.EL_VIRT,0.1,excel_EL_t49_extra_compensation,
B317.T49-4-9,B317.EL_VIRT,0.5,excel_EL_t49_extra_compensation,
B317.T49-4-9,B313.EL_VIRT,0.1,excel_EL_t49_extra_compensation,
B317.T49-5-1,B317.EL_VIRT,0.5,excel_EL_t49_extra_compensation,
B317.T49-5-1,B313.EL_VIRT,0.1,excel_EL_t49_extra_compensation,
B317.T49-5-2,B317.EL_VIRT,0.5,excel_EL_t49_extra_compensation,
B317.T49-5-2,B313.EL_VIRT,0.1,excel_EL_t49_extra_compensation,
B317.T49-5-7,B317.EL_VIRT,0.5,excel_EL_t49_extra_compensation,
B317.T49-5-7,B313.EL_VIRT,0.1,excel_EL_t49_extra_compensation,
B313.T26S-2-12,B311.EL_VIRT,0.5,excel_EL_t26s_extra_compensation,
B313.T26S-3-24,B311.EL_VIRT,0.5,excel_EL_t26s_extra_compensation,
B312.T34,B312.T34_unalloc,0.15,excel_EL_t34_residual,
B339.T77-4-5,B305.EL_VIRT,0.5,excel_EL_double_plus_split,
B339.T77-4-5,B392.EL_VIRT,0.5,excel_EL_double_plus_split,
B318.T21-6-2-A,B318.EL_VIRT,0.5,excel_EL_double_plus_split,
B318.T21-6-2-A,B344.EL_VIRT,0.5,excel_EL_double_plus_split,
B317.T49-3-9,SNV.EL_UNALLOC,0.4,campus_residual,
B317.T49-4-4,SNV.EL_UNALLOC,0.4,campus_residual,
B317.T49-4-6,SNV.EL_UNALLOC,0.4,campus_residual,
B317.T49-4-7,SNV.EL_UNALLOC,0.4,campus_residual,
B317.T49-4-9,SNV.EL_UNALLOC,0.4,campus_residual,
B317.T49-5-1,SNV.EL_UNALLOC,0.4,campus_residual,
B317.T49-5-2,SNV.EL_UNALLOC,0.4,campus_residual,
B317.T49-5-7,SNV.EL_UNALLOC,0.4,campus_residual,
B313.T26S-2-12,SNV.EL_UNALLOC,0.5,campus_residual,
B313.T26S-3-24,SNV.EL_UNALLOC,0.5,campus_residual,
B307.T10-1,B307.T10-5-2,,excel_EL_complex_formula,
B307.T10-1,B307.T10-5-3,,excel_EL_complex_formula,
B307.T10-1,B307.T10-6-2,,excel_EL_complex_formula,
B307.T10-1,B307.T10-6-5,,excel_EL_complex_formula,
B307.T10-1,B307.T10-6-8,,excel_EL_complex_formula,
B307.T10-1,B307.T10-6-9,,excel_EL_complex_formula,
B307.T10-1,B307.T10-7-3,,excel_EL_complex_formula,
B307.T10-1,B307.T10-7-4,,excel_EL_complex_formula,
B307.T10-1,B307.T10-7-5,,excel_EL_complex_formula,
B307.T10-1,B307.T10-7-6,,excel_EL_complex_formula,
B307.T10-1,B307.T10-7-7,,excel_EL_complex_formula,
B307.T11-1,B307.T11-7-10,,excel_EL_complex_formula,
B307.T11-1,B307.T11-7-7,,excel_EL_complex_formula,
B307.T11-1,B307.T11-8-5,,excel_EL_complex_formula,
B339.T77-1,B339.T77-4-5,,excel_EL_complex_formula,
B339.T77-1,B339.T77-5-1,,excel_EL_complex_formula,
B339.T78-1,B339.T78-4-1,,excel_EL_complex_formula,
B339.T78-1,B339.T78-4-2,,excel_EL_complex_formula,
B307.T10-6-8,B305.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B307.T10-6-9,B305.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B307.T10-7-3,B305.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B307.T10-7-4,B305.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B307.T10-7-5,B305.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B307.T10-7-7,B305.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B307.T11-7-10,B305.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B307.T11-8-5,B305.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B312.T34-2-3,B305.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B312.T34-2-4,B305.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B308.T57-4-7,B344.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B310.T27,B310.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B310.T28,B310.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B310.T27-12-2,B313.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B311.T56,B311.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B311.T79,B311.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B311.T80,B311.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B360.T99-4-5,B311.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B313.T26S-3-16,B317.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B313.T26S-3-20,B317.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B317.T49-5-9,B317.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B328.T19-3-4,B318.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B328.T19-4-2,B318.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B328.T20-3-1,B318.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B339.T78-4-2,B318.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
B334.T88-4-2,B392.EL_VIRT,1.0,excel_EL_abbey_road_unification,feeds
