building,row,formula_column,sign,role,excel_meter_id,facit_meter_id,coefficient,n_terms
201,9,S,+,add,B201.KV1_VM21_V,B201.KV1_VMM21_V,1.0,5
202,10,S,+,add,B207.KV1_VM21,B207.KV1_VMM21,1.0,5
202,10,T,+,add,B203.KV1_VM22_V,B203.KV1_VMM22_V,1.0,5
202,10,U,+,add,B202.KV1_VM21_V,B202.KV1_VMM21_V,1.0,5
202,10,V,−,sub,B202.KV1_VM22_V,B202.KV1_VMM22_V,1.0,5
202,10,W,−,sub,B201.KV1_VM21_V,B201.KV1_VMM21_V,1.0,5
203,11,S,+,add,B203.KV1_VM21_V,B203.KV1_VMM21_V,1.0,5
204,12,S,+,add,B204.KV1_VM22_V,B204.KV1_VMM22_V,1.0,7
207,13,S,+,add,B207.KV1_VM22,B207.KV1_VMM22,1.0,5
207,13,T,−,sub,B207.KV1_VM21,B207.KV1_VMM21,1.0,5
207,13,U,−,sub,B216.KV1_VM21,B216.KV1_VMM21,1.0,5
207,13,V,−,sub,B217.KV1_VM24_V,B217.KV1_VMM24_V,1.0,5
209,14,S,+,add,B209.KV1_VM21_V,B209.KV1_VMM21_V,1.0,5
216,15,S,+,add,B216.KV1_VM21,B216.KV1_VMM21,1.0,7
217,16,S,+,add,B217.KV1_VM24_V,B217.KV1_VMM24_V,1.0,7
301,18,S,+,add,B301.KV1_VM21_V,B301.KV1_VMM21_V,1.0,7
302,19,S,+,add,B302.KV1_VM22_V,B302.KV1_VMM22_V,1.0,7
302,19,T,+,add,B302.KV1_VM23_V,B302.KV1_VMM23_V,1.0,7
302,19,U,−,sub,B302.KV1_VM21_V,B302.KV1_VMM21_V,1.0,7
302,19,V,−,sub,B301.KV1_VM21_V,B301.KV1_VMM21_V,1.0,7
303,20,S,+,add,B303.KV1_VM21_V,B303.KV1_VMM21_V,1.0,7
304,21,S,+,add,B304.KV1_VM21_V,B304.KV1_VMM21_V,1.0,7
304,21,T,+,add,B304.KV1_VM22_V,B304.KV1_VMM22_V,1.0,7
304,21,U,+,add,B304.KV1_VM23_V,B304.KV1_VMM23_V,1.0,7
305,22,S,+,add,B305.KV1_VM22_V,B305.KV1_VMM22_V,1.0,7
305,22,T,+,add,B305.KV1_VM23_V,B305.KV1_VMM23_V,1.0,7
305,22,U,−,sub,B305.KV1_VM21_V,B305.KV1_VMM21_V,1.0,7
305,22,V,−,sub,B302.KV1_VM23_V,B302.KV1_VMM23_V,1.0,7
307,23,S,+,add,B307.KV1_VM21_V,B307.KV1_VMM21_V,1.0,7
307,23,T,−,sub,B344.KV1_VM21_V,B344.KV1_VMM21_V,1.0,7
307,23,U,−,sub,B342.KV1_VM21_V,B342.KV1_VMM21_V,1.0,7
308,24,S,+,add,B308.KV1_VM21_V,B308.KV1_VMM21_V,1.0,7
308,24,T,+,add,B308.KV1_VM23_V,B308.KV1_VMM23_V,1.0,7
310,26,S,+,add,B310.KV1_VM23_V,B310.KV1_VMM23_V,1.0,8
310,26,T,+,add,B310.KV1_VM27_V,B310.KV1_VMM27_V,1.0,8
310,26,U,+,add,B310.KV1_VM20_V,B310.KV1_VMM20_V,1.0,8
310,26,V,+,add,B310.KV1_VM22_V,B310.KV1_VMM22_V,1.0,8
310,26,W,+,add,B310.KV1_VM21_V,B310.KV1_VMM21_V,1.0,8
310,26,X,−,sub,B315.KV1_VM21_V,B315.KV1_VMM21_V,1.0,8
310,26,Y,−,sub,B313.KV1_VM22_V,B313.KV1_VMM22_V,1.0,8
310,26,Z,−,sub,B314.KV1_VM22_V,B314.KV1_VMM22_V,1.0,8
311,27,S,+,add,B311.KV1_VM26_V,B311.KV1_VMM26_V,1.0,16
311,27,T,−,sub,B317.KV1_VM21_V,B317.KV1_VMM21_V,1.0,16
311,27,U,−,sub,B317.KV1_VM22_V,B317.KV1_VMM22_V,1.0,16
311,27,V,−,sub,B317.KV1_VM23_V,B317.KV1_VMM23_V,1.0,16
311,27,W,−,sub,B317.KV1_VM25_V,B317.KV1_VMM25_V,1.0,16
311,27,X,−,sub,B311.KV1_VM27_V,B311.KV1_VMM27_V,1.0,16
311,27,Y,−,sub,B337.KV1_VM21_V,B337.KV1_VMM21_V,1.0,16
311,27,Z,−,sub,B381.KV1_VM21_V,B381.KV1_VMM21_V,1.0,16
311,27,AA,−,sub,B310.KV1_VM20_V,B310.KV1_VMM20_V,1.0,16
311,27,AB,−,sub,B310.KV1_VM21_V,B310.KV1_VMM21_V,1.0,16
311,27,AC,−,sub,B310.KV1_VM22_V,B310.KV1_VMM22_V,1.0,16
311,27,AD,−,sub,B310.KV1_VM23_V,B310.KV1_VMM23_V,1.0,16
311,27,AE,−,sub,B310.KV1_VM24_V,B310.KV1_VMM24_V,1.0,16
311,27,AF,−,sub,B310.KV1_VM27_V,B310.KV1_VMM27_V,1.0,16
311,27,AG,−,sub,B313.KV1_VM21_V,B313.KV1_VMM21_V,1.0,16
311,27,AH,−,sub,B315.KV1_VM21_V,B315.KV1_VMM21_V,1.0,16
312,28,S,+,add,B312.KV1_VM21_V,B312.KV1_VMM21_V,1.0,8
313,29,S,+,add,B313.KV1_VM21_V,B313.KV1_VMM21_V,1.0,8
313,29,T,+,add,B313.KV1_VM22_V,B313.KV1_VMM22_V,1.0,8
314,30,S,+,add,B314.KV1_VM21_V,B314.KV1_VMM21_V,1.0,8
314,30,T,+,add,B314.KV1_VM22_V,B314.KV1_VMM22_V,1.0,8
314,30,U,+,add,B315.KV1_VM21_V,B315.KV1_VMM21_V,1.0,8
314,30,V,−,sub,B313.KV1_VM22_V,B313.KV1_VMM22_V,1.0,8
315,31,S,+,add,B315.KV1_VM21_V,B315.KV1_VMM21_V,1.0,8
317,33,S,+,add,B317.KV1_VM23_V,B317.KV1_VMM23_V,1.0,8
317,33,T,+,add,B317.KV1_VM25_V,B317.KV1_VMM25_V,1.0,8
317,33,U,+,add,B317.KV1_VM21_V,B317.KV1_VMM21_V,1.0,8
317,33,V,+,add,B317.KV1_VM22_V,B317.KV1_VMM22_V,1.0,8
318,34,S,+,add,B318.KV1_VM21_V,B318.KV1_VMM21_V,1.0,8
318,34,T,−,sub,B353.KV1_VM21_V,B353.KV1_VMM21_V,1.0,8
318,34,U,−,sub,B319.KV1_VM21,B319.KV1_VMM21,1.0,8
319,35,S,+,add,B319.KV1_VM21,B319.KV1_VMM21,1.0,8
325,40,S,+,add,B325.KV1_VM23_V,B325.KV1_VMM23_V,1.0,8
326,41,S,+,add,B326.KV1_VM21,B326.KV1_VMM21,1.0,8
327,42,S,+,add,B327.KV1_VM21_V,B327.KV1_VMM21_V,1.0,8
327,42,T,−,sub,B326.KV1_VM21,B326.KV1_VMM21,1.0,8
330,44,S,+,add,B330.KV1_VM23_V,B330.KV1_VMM23_V,1.0,8
334,45,S,+,add,B334.KV1_VM21,B334.KV1_VMM21,1.0,8
334,45,T,−,sub,B330.KV1_VM23_V,B330.KV1_VMM23_V,1.0,8
337,46,S,+,add,B337.KV1_VM21_V,B337.KV1_VMM21_V,1.0,8
337,46,T,+,add,B337.KV1_VM22_V,B337.KV1_VMM22_V,1.0,8
339,47,S,+,add,B339.KV1_VM23_V,B339.KV1_VMM23_V,1.0,8
339,47,T,−,sub,B318.KV1_VM21_V,B318.KV1_VMM21_V,1.0,8
341,49,S,+,add,B341.KV1_VM21_V,B341.KV1_VMM21_V,1.0,8
342,50,S,+,add,B342.KV1_VM21_V,B342.KV1_VMM21_V,1.0,8
344,52,S,+,add,B344.KV1_VM21_V,B344.KV1_VMM21_V,1.0,8
353,59,S,+,add,B353.KV1_VM21_V,B353.KV1_VMM21_V,1.0,8
381,66,S,+,add,B381.KV1_VM21_V,B381.KV1_VMM21_V,1.0,8
385,68,S,+,add,B385.KV1_VM21_V,B385.KV1_VMM21_V,1.0,8
389,70,S,+,add,B389.BRV1_VM21,B389.BRV1_VMM21,1.0,8
392,72,S,+,add,B392.KV1_VM21,B392.KV1_VMM21,1.0,8
392,72,T,+,add,B392.KV1_VM22,B392.KV1_VMM22,1.0,8
420,76,S,+,add,B420.KV1_VM21_V,B420.KV1_VMM21_V,1.0,8
